Date,Works Type,Title,URL
2012/10/5,Event,大奥〜誕生［有功・家光篇］制作発表＆第一話の試写会,https://h2col.notion.site/1848a08476c78067835ec9c1b519d36e
2012/9/30,Event,「鍵泥棒のメソッド」舞台挨拶 @兵庫,https://h2col.notion.site/1848a08476c78050bd0efeb4a49681f4
2012/9/15,Event,『鍵泥棒のメソッド』初日舞台あいさつ,https://h2col.notion.site/1848a08476c780a38438c823ad1a2f0a
2012/8/1,Event,『鍵泥棒のメソッド』完成披露試写会,https://h2col.notion.site/1848a08476c7807294adf18fbed44a93
2012/7/24,Event,『鍵泥棒のメソッド』合同記者会見,https://h2col.notion.site/19f8a08476c78055bf39c710e9a59b17
2012/7/8,Bangumi,知られざる大英博物館 第３集「日本　巨大古墳の謎」,https://h2col.notion.site/2203f045b2db4fc8a6c0cc2a4acd2ea4
2012/7/1,Bangumi,知られざる大英博物館 第２集「古代ギリシャ　“白い”文明の真実」,https://h2col.notion.site/2203f045b2db4fc8a6c0cc2a4acd2ea4
2012/6/24,Bangumi,知られざる大英博物館 第１集「古代エジプト　民が支えた３０００年の繁栄」,https://h2col.notion.site/2203f045b2db4fc8a6c0cc2a4acd2ea4
2012/06/16 → 2012/06/24,Festival / Awards,第15回上海国際映画祭,https://h2col.notion.site/1478a08476c780fdb600db9050dad398
2012/4/22,Festival / Awards,第3回 日本シアタースタッフ映画祭,https://h2col.notion.site/1478a08476c7802dad65cb02c29c8e12
2012/4/12,Event,「大英博物館　古代エジプト展」説明会,https://h2col.notion.site/19f8a08476c7802aa51ed7ba3e19423c
2012/4/9,Event,「リーガル・ハイ」の完成披露試写会,https://h2col.notion.site/1848a08476c780b0852afaf6ed6fced3
2011/12/28,Festival / Awards,第24回日刊スポーツ映画大賞・石原裕次郎賞 授賞式,https://h2col.notion.site/1848a08476c78085a984dea61da59a90
2011/12/21,Festival / Awards,第36回報知映画賞,https://h2col.notion.site/1478a08476c7803a9435e3e3d8db1179
2011/10/8,Event,『ツレがうつになりまして。』初日舞台挨拶,https://h2col.notion.site/1848a08476c780d580d1e2420a9ee4ee
2011/9/27,Event,「ツレがうつになりまして。」の完成披露試写会,https://h2col.notion.site/1848a08476c780bc842afa1cd9ac44ec
2011/9/15,Event,「ツレがうつになりまして。」先行上映会,https://h2col.notion.site/1ac8a08476c780bfa21de55c5b1a2db0
2011/9/14,Event,『塚原卜伝』特別試写会,https://h2col.notion.site/1848a08476c78052aafaed1d8886956d
2011/8/27,Event,『日輪の遺産』初日舞台挨拶,https://h2col.notion.site/1848a08476c7807f860ed698cf46196a
2011/8/15,Event,『日輪の遺産』ジャパンプレミア,https://h2col.notion.site/1848a08476c780d7b506e4c24d34e552
2011/8/8,Event,『日輪の遺産』完成披露試写会,https://h2col.notion.site/1848a08476c780208660ceded18e92de
2011/7/17,Event,『塚原卜伝』会見,https://h2col.notion.site/1848a08476c78030a0fbe886ff6b3368
2011/5/11,Event,『手塚治虫のブッダ 赤い砂漠よ！美しく』完成披露試写会,https://h2col.notion.site/1948a08476c7802d96abd1ead6a7f65e
2011/4/19,Event,『日輪の遺産』完成報告会見,https://h2col.notion.site/1848a08476c780b89d4bfdd72447fc65
2011/1/26,Event,『ツレがうつになりまして。』会見,https://h2col.notion.site/1848a08476c780b6ba13dc3e03152ab6
2010/12/15,Event,『武士の家計簿』大ヒット御礼舞台あいさつ,https://h2col.notion.site/1848a08476c7800d9082cb18c6c9d9d1
2010/12/4,Event,『武士の家計簿』初日舞台あいさつ,https://h2col.notion.site/1848a08476c7808cab2df7ed04b282be
2010/11/27,Event,『武士の家計簿』先行公開初日舞台挨拶,https://h2col.notion.site/1848a08476c7800f8fa2c4046a2c404c
2010/11/20,Bangumi,斎藤佑樹・重圧と戦った4年間,https://h2col.notion.site/87ec11cd837745918d77193cd8c81921
2010/11/8,Event,『武士の家計簿』完成披露試写会,https://h2col.notion.site/1848a08476c780b8945ff7580e5d773c
2010/10/28,Event,「武士の家計簿」完成披露記者会見,https://h2col.notion.site/1848a08476c7807e9401d6cd1bab3a36
2010/10/24,Event,「ニセ医者と呼ばれて～沖縄・最後の医介輔～」会見,https://h2col.notion.site/1ae8a08476c780d2bb90feb00c0598cc
2010/9/17,Event,サムライ・シネマ キャンペーン,https://h2col.notion.site/19f8a08476c780b38849da6f44bc6ba4
2010/7/2,Event,「ジョーカー　許されざる捜査官」製作発表会見,https://h2col.notion.site/1848a08476c780128404eed6f58da160
2010/5/11,Event,『日輪の遺産』の撮影現場会見,https://h2col.notion.site/1c88a08476c780178c09e47ebe12299d
2010/5/10,Bangumi,堺雅人 今を生きるネイティブアメリカンを訪ねて,https://h2col.notion.site/a1501657681f4493ba59188afec9616f
2010/5/8,Bangumi,知られざる“龍馬伝” 世紀の英雄・坂本龍馬 最大の謎と秘密の暗号,https://h2col.notion.site/fc3a9cc414f346e18e1b9b75f2c20e08
2010/4/23,Event,「知られざる“龍馬伝”世紀の英雄・坂本龍馬最大の謎と秘密の暗号」会見,https://h2col.notion.site/1b88a08476c780f0b196c8cd62079da9
2010/4/23,Festival / Awards,第1回 日本シアタースタッフ映画祭,https://h2col.notion.site/1478a08476c78003b258cd288cb7c550
2010/3/5,Festival / Awards,第33回日本アカデミー賞,https://h2col.notion.site/1668a08476c780359d25da94a8aadd84
2010/2/19,Festival / Awards,第60回ベルリン国際映画祭のパノラマ部門,https://h2col.notion.site/1808a08476c7809e9950dcc7bc82d3f2
2010/2/11,Event,『ゴールデンスランバー』大ヒット御礼舞台挨拶,https://h2col.notion.site/1848a08476c7801180dad530243dfa3c
2010/2/7,Festival / Awards,第31回ヨコハマ映画祭,https://h2col.notion.site/1478a08476c7805588b4c503e7441cbe
2010/1/30,Event,『ゴールデンスランバー』初日舞台あいさつ,https://h2col.notion.site/1848a08476c780ffb88bfd01debdc3b3
2010/1/18,Event,『ゴールデンスランバー』完成披露試写会&ジャパンプレミア,https://h2col.notion.site/1848a08476c78018ad77c9b1424c308c
2010/1/14,Event,『武士の家計簿』撮影現場公開,https://h2col.notion.site/1c88a08476c78035af85c7d8efd4f483
2009/10/10,Event,「クヒオ大佐」初日挨拶,https://h2col.notion.site/1848a08476c780b784fdf43fa22034c5
2009/10/4,Event,『クヒオ大佐』試写会イベント,https://h2col.notion.site/1848a08476c780d48978e2c642add50e
2009/8/8,Event,「南極料理人」初日舞台挨拶,https://h2col.notion.site/1848a08476c780fb9ec8c4818c0e5f20
2009/7/27,Event,『南極料理人』プレミア舞台挨拶,https://h2col.notion.site/1848a08476c7806594d7f2f84b43fc84
2009/6/29,Event,「官僚たちの夏」制作発表会見,https://h2col.notion.site/1848a08476c780cda107d12900732c24
2009/5/10,Festival / Awards,第17回橋田賞,https://h2col.notion.site/19e8a08476c7807ea5afe2f8b4dadd29
2009/3/7,Event,「ジェネラル・ルージュの凱旋」初日舞台挨拶,https://h2col.notion.site/1848a08476c780f1b8d8ef5d080598d3
2009/2/24,Event,「ジェネラル・ルージュの凱旋」プレミアイベント,https://h2col.notion.site/1848a08476c780b69aedecda454e899f
2009/2/20,Festival / Awards,第32回日本アカデミー賞,https://h2col.notion.site/19e8a08476c780418cf2e1514f03eeec
2009/2/18,Festival / Awards,第82回 キネマ旬報ベスト・テン 第1位映画鑑賞会と表彰式,https://h2col.notion.site/1848a08476c780faa87ad7ec1d4142f8
2009/1/30,Event,『ジェネラル・ルージュの凱旋』製作会見,https://h2col.notion.site/1848a08476c780809c1ec466bb423e04
2008/12/28,Event,「トライアングル 」制作発表会見,https://h2col.notion.site/1948a08476c7803fbc90eb5fda8d1cf1
2008/12/28,Festival / Awards,第21回日刊スポーツ映画大賞,https://h2col.notion.site/1478a08476c78032a0f8eb8bd4f2d1cd
2008/12/17,Festival / Awards,第33回報知映画賞の表彰式,https://h2col.notion.site/2c88a08476c780bf8206e476ff6fd720
2008/10/22,Festival / Awards,国際ドラマフェスティバル in TOKYO 2008,https://h2col.notion.site/19e8a08476c78007953fdda061e622e8
2008/9/27,Event,「篤姫」最終回の収録,https://h2col.notion.site/19e8a08476c780faa183d5cb2fd5d958
2008/7/26,Event,ＮＨＫ大河ドラマ「篤姫」トークショー,https://h2col.notion.site/1228a08476c78057b08ec6b6891b01a8
2008/7/19,Event,『ジャージの二人』初日舞台挨拶,https://h2col.notion.site/1848a08476c78064a43ee5e8e622db1c
2008/7/16,Event,「ジャージの二人」プレミア試写会,https://h2col.notion.site/1848a08476c780f0aa12ee2fb692c742
2008/7/11,Event,「ジャージの二人」記者会見,https://h2col.notion.site/1848a08476c780b4b8e6f9db25bd2c9c
2008/7/5,Event,『クライマーズハイ』初日舞台挨拶,https://h2col.notion.site/1848a08476c780269a4dfcba9b5e99e5
2008/6/17,Event,「クライマーズ・ハイ」完成披露試写会 & 記者会見,https://h2col.notion.site/1848a08476c780bfa46af5dba6ab6dd2
2008/5/24,Event,『アフタースクール』初日舞台挨拶,https://h2col.notion.site/1848a08476c780958251f2c65325607e
2008/2/13,Event,『アフタースクール』完成披露試写会,https://h2col.notion.site/1848a08476c780398457e07c91016a65
2008/1/2,Bangumi,銘酒誕生物語-九州が生んだ人気焼酎を訪ねて-,https://h2col.notion.site/ca4a96bbe6a0430399640d92f04681ea
2007/12/28,Bangumi,"「新・日本百景 100年後に残したい日本の姿」
九州・沖縄編",https://h2col.notion.site/bf584060e7c349a8ba9aa2c4e35c2d55
2007/10/9,Event,NHK大河ドラマ『篤姫』第3次出演者発表会見,https://h2col.notion.site/1848a08476c780718d84e66c01dc1435
2007/9/15,Event,『壁男』初日舞台挨拶,https://h2col.notion.site/1848a08476c780c49918de6c7c74ed35
2007/4/1,Event,「孤独の賭け－愛しき人よ」制作発表会見,https://h2col.notion.site/1848a08476c7809581abdd207ac152e2
2006/10/21,Festival / Awards,第19回東京国際映画祭,https://h2col.notion.site/19e8a08476c780ddb3cdc78fac9b2582
2006/5/20,Bangumi,ダ・ヴィンチ・コード ミステリースペシャル,https://h2col.notion.site/5af2b9b547f7466499f76f93bd61be44
2006/4/26,Event,「ダ・ヴィンチ・コード　ミステリースペシャル」制作発表会見,https://h2col.notion.site/1848a08476c7806692e2d2c306931b91
2006/1/11,Event,「出雲の阿国」制作発表会見,https://h2col.notion.site/1848a08476c780499bfaf3865880194a
2005/12/11,Bangumi,"新シルクロード
第10集「西安 永遠の都」",https://h2col.notion.site/87ed2498bf724146b3facc3cb2336b55
2005/11/17,Bangumi,よみがえる源氏物語絵巻 -浄土を夢見た女たち-,https://h2col.notion.site/f12d77fd6eb04b4593b0760090802704
2005/10/30,Bangumi,笑顔でさようなら,https://h2col.notion.site/1794850a05c94c8ab1f5c51da2901987
2005/10/15,Bangumi,"かまぼこ板に描かれた“昭和”～香川　
お年寄りたちの絵物語",https://h2col.notion.site/ed36825a7ceb40d3a40166a339816d10
2005/9/19,Bangumi,"湯せんペいは　わが人生
－　雲仙・名物ばあちゃん奮闘記　－",https://h2col.notion.site/71bbddda5a484d4b8012645f670fbc50
2005/3/15,Event,「エンジン」制作発表会見,https://h2col.notion.site/1848a08476c78077b4a7f0a47735cd66
2004/9/30,Event,『NHK大河ドラマ新選組!「スペシャルＷトークショー」』@二本松市民会館,https://h2col.notion.site/1228a08476c780c6a98aec9d7f75379e
2004/9/17,Event,若山牧水短歌スペシャル決勝大会,https://h2col.notion.site/1618a08476c78036b15ee9a36d0e6700
2004/8/21,Event,新選組!トークショー in リバーウォーク北九州,https://h2col.notion.site/1228a08476c780bd9406e7171a474676
2004/7/28,Event,ＮＨＫ大河ドラマ「新選組」出演者トークショー @會津風雅堂,https://h2col.notion.site/1228a08476c780e58a8ef0e927c3f3ab
2004/2/20,Festival / Awards,第27回日本アカデミー賞,https://h2col.notion.site/19e8a08476c780b898f7eb7bb56fa02b
2001/1/20,Event,「張り込み」舞台挨拶 @シネマ・下北沢でラブシネマ,https://h2col.notion.site/1948a08476c780748d6af2003ea6513b
1999/10/31,Festival / Awards,『火星のわが家』ティーチイン @第12回東京国際映画祭,https://h2col.notion.site/1948a08476c78091a16deb772d040fd9
1998/9/11,Event,「Zenmai」製作発表,https://h2col.notion.site/1928a08476c7801b8d76f2b6c1695d88
