DateStart,DateEnd,Weekday,Add,Date,Title,URL,Year,Role,WorksType
1999/7/29,1999/7/31,,,,『ピッチフォーク・ディズニー（朗読劇）』,https://h2col.notion.site/8fe69b6ffad84610a1e9b1275cb52dfa,1999,,舞台
1999/7/5,1999/9/13,1,,,女医,https://h2col.notion.site/4f63d716a24b4ebb9dc209ae0dbd07f7,1999,,TV
1999/5/5,1999/6/30,3,,,ア･オ･ゾ･ラ･マ･ー･ジ･ャ･ン,https://h2col.notion.site/76704b83ef004e2c88a905f77b24dad8,1999,主演,TV
1999/1/30,1999/1/30,,,,The Gospellers アカペラツアー「アカペラ人」,https://h2col.notion.site/The-Gospellers-1148a08476c780cf9092ee86ed408d37,1999,,その他
1998/10/16,1998/10/29,,,,Zenmai 金色の草原に立つ時限爆弾をもった少年,https://h2col.notion.site/Zenmai-ef7bb2dc966d498482072173819497fd,1998,主演,舞台
1998/5/23,1998/5/27,,,,水の味,https://h2col.notion.site/3784a3fb60124ebaa47451199f84a61c,1998,主演,舞台
1998/3/13,1998/3/16,,,,『東京オレンジ「Tempest～Tigershot meet with Shakespeare～」』,https://h2col.notion.site/Tempest-Tigershot-meet-with-Shakespeare-ce6ad7ca903b41c1b40b0602f2f10830,1998,主演,舞台
1997/12/30,1997/12/30,,,,『双数姉妹「週刊明星VOL.2」』,https://h2col.notion.site/VOL-2-6679d5d09b334993a66f84374b62deda,1997,,舞台
1997/11/14,1997/12/1,,,,『東京オレンジ「EXPLORER～Tigershot Go Space」』,https://h2col.notion.site/EXPLORER-Tigershot-Go-Space-e36c516b339f40c1aca1ba1002a9e061,1997,主演,舞台
1997/9/21,1997/9/21,,,,『双数姉妹「週刊明星VOL.0」』,https://h2col.notion.site/VOL-0-367a9ad057224457bdca13b430351ee9,1997,,舞台
1997/7/22,1997/7/22,,,,恋、した。 第15話 「PM6:31 アースクェイク」,https://h2col.notion.site/15-PM6-31-9207e2786ec14a63a197d577faa40cbc,1997,,TV
1997/6/13,1997/7/2,,,,『第三舞台「コーマ・エンジェル～天使は瞳を閉じてより～」』,https://h2col.notion.site/20e057e5a1484277818d2adb29bcf2bd,1997,,舞台
1997/4/12,1997/4/21,,,,『東京オレンジ「こども刑務所」』,https://h2col.notion.site/f2fa715d7bb54aed87c50835a97758fe,1997,主演,舞台
